Date,Price
5/23/2023,3.131
5/22/2023,3.143
5/19/2023,3.096
5/18/2023,3.093
5/17/2023,3.118
5/16/2023,3.104
5/15/2023,3.118
5/12/2023,3.118
5/11/2023,3.131
5/10/2023,3.203
5/9/2023,3.165
5/8/2023,3.194
5/5/2023,3.266
5/4/2023,3.331
5/3/2023,3.313
5/2/2023,3.313
5/1/2023,3.313
4/28/2023,3.363
4/27/2023,3.336
4/26/2023,3.375
4/25/2023,3.392
4/24/2023,3.491
4/21/2023,3.419
4/20/2023,3.449
4/19/2023,3.443
4/18/2023,3.477
4/17/2023,3.412
4/14/2023,3.47
4/13/2023,3.489
4/12/2023,3.429
4/11/2023,3.445
4/10/2023,3.452
4/7/2023,3.547
4/6/2023,3.6
4/5/2023,3.574
4/4/2023,3.564
4/3/2023,3.592
3/31/2023,3.469
3/30/2023,3.714
3/29/2023,3.746
3/28/2023,3.758
3/27/2023,3.781
3/24/2023,3.705
3/23/2023,3.873
3/22/2023,3.914
3/21/2023,3.988
3/20/2023,4.03
3/17/2023,4.098
3/16/2023,4.103
3/15/2023,4.273
3/14/2023,4.304
3/13/2023,4.36
3/10/2023,4.465
3/9/2023,4.519
3/8/2023,4.578
3/7/2023,4.551
3/6/2023,4.585
3/3/2023,4.595
3/2/2023,4.59
3/1/2023,4.537
2/28/2023,4.532
2/27/2023,4.545
2/24/2023,4.577
2/23/2023,4.556
2/22/2023,4.529
2/21/2023,4.446
2/20/2023,4.375
2/17/2023,4.347
2/16/2023,4.311
2/15/2023,4.251
2/14/2023,4.205
2/13/2023,4.251
2/10/2023,4.254
2/9/2023,4.257
2/8/2023,4.323
2/7/2023,4.301
2/6/2023,4.322
2/3/2023,4.326
2/2/2023,4.358
2/1/2023,4.475
1/31/2023,4.639
1/30/2023,4.721
1/27/2023,4.762
1/26/2023,4.739
1/25/2023,4.739
1/24/2023,4.739
1/23/2023,4.739
1/20/2023,4.739
1/19/2023,4.79
1/18/2023,4.799
1/17/2023,4.818
1/16/2023,4.818
1/13/2023,4.822
1/12/2023,4.84
1/11/2023,4.91
1/10/2023,4.919
1/9/2023,4.941
1/6/2023,4.982
1/5/2023,5
1/4/2023,5.032
1/3/2023,5.028
1/2/2023,4.987
12/30/2022,5.037
12/29/2022,5.042
12/28/2022,5.078
12/27/2022,5.087
12/26/2022,5.087
12/23/2022,5.092
12/22/2022,5.092
12/21/2022,5.117
12/20/2022,5.117
12/19/2022,5.122
12/16/2022,5.129
12/15/2022,5.129
12/14/2022,5.138
12/13/2022,5.138
12/12/2022,5.143
12/9/2022,5.143
12/8/2022,5.152
12/7/2022,5.17
12/6/2022,5.17
12/5/2022,5.163
12/2/2022,5.168
12/1/2022,5.168
11/30/2022,5.164
11/29/2022,5.155
11/28/2022,5.159
11/25/2022,5.159
11/24/2022,5.159
11/23/2022,5.146
11/22/2022,5.146
11/21/2022,5.142
11/18/2022,5.142
11/17/2022,5.129
11/16/2022,5.147
11/15/2022,5.151
11/14/2022,5.141
11/11/2022,5.168
11/10/2022,5.164
11/9/2022,5.167
11/8/2022,5.177
11/7/2022,5.203
11/4/2022,5.209
11/3/2022,5.209
11/2/2022,5.19
11/1/2022,5.194
10/31/2022,5.194
10/28/2022,5.189
10/27/2022,5.204
10/26/2022,5.172
10/25/2022,5.159
10/24/2022,5.095
10/21/2022,5.078
10/20/2022,5.05
10/19/2022,5.051
10/18/2022,5.056
10/17/2022,5.132
10/14/2022,5.171
10/13/2022,5.171
10/12/2022,5.18
10/11/2022,5.154
10/10/2022,5.131
10/7/2022,5.142
10/6/2022,5.123
10/5/2022,5.128
10/4/2022,5.115
10/3/2022,5.027
9/30/2022,5.016
9/29/2022,4.975
9/28/2022,5.025
9/27/2022,4.874
9/26/2022,4.667
9/23/2022,4.645
9/22/2022,4.531
9/21/2022,4.305
9/20/2022,3.943
9/19/2022,3.896
9/16/2022,3.9
9/15/2022,3.862
9/14/2022,3.852
9/13/2022,3.803
9/12/2022,3.8
9/9/2022,3.817
9/8/2022,3.833
9/7/2022,3.819
9/6/2022,3.769
9/5/2022,3.716
9/2/2022,3.631
9/1/2022,3.631
8/31/2022,3.681
8/30/2022,3.673
8/29/2022,3.668
8/26/2022,3.641
8/25/2022,3.645
8/24/2022,3.647
8/23/2022,3.642
8/22/2022,3.609
8/19/2022,3.603
8/18/2022,3.596
8/17/2022,3.618
8/16/2022,3.599
8/15/2022,3.621
8/12/2022,3.618
8/11/2022,3.591
8/10/2022,3.718
8/9/2022,3.71
8/8/2022,3.7
8/5/2022,3.712
8/4/2022,3.686
8/3/2022,3.6
8/2/2022,3.595
8/1/2022,3.686
7/29/2022,3.632
7/28/2022,3.707
7/27/2022,3.863
7/26/2022,3.487
7/25/2022,3.431
7/22/2022,3.427
7/21/2022,3.428
7/20/2022,3.414
7/19/2022,3.422
7/18/2022,3.425
7/15/2022,3.4
7/14/2022,3.39
7/13/2022,3.36
7/12/2022,3.364
7/11/2022,3.361
7/8/2022,3.378
7/7/2022,3.361
7/6/2022,3.36
7/5/2022,3.368
7/4/2022,3.375
7/1/2022,3.365
6/30/2022,3.368
6/29/2022,3.373
6/28/2022,3.395
6/27/2022,3.401
